,username,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,UniqueID,track_uri
12291,ozdakaac3d5c3izl7tcrrzu7i,52330,Break Your Heart,Taio Cruz,The Rokstarr Hits Collection,spotify:track:7ElF5zxOwYP4qVSWVvse3W,Taio Cruz:Break Your Heart,7ElF5zxOwYP4qVSWVvse3W
12292,ozdakaac3d5c3izl7tcrrzu7i,158440,When I Look At You,Miley Cyrus,The Time Of Our Lives,spotify:track:6ZfXA2xakAvphXOSOJ3u1W,Miley Cyrus:When I Look At You,6ZfXA2xakAvphXOSOJ3u1W
12293,ozdakaac3d5c3izl7tcrrzu7i,27610,Ghost Of You,5 Seconds of Summer,Youngblood,spotify:track:1MhXdlCQPnO56T57MfmaRm,5 Seconds of Summer:Ghost Of You,1MhXdlCQPnO56T57MfmaRm
12294,ozdakaac3d5c3izl7tcrrzu7i,1540,Life Of The Party,Shawn Mendes,Handwritten,spotify:track:14hJ5tc1VCFMWhVn9axRTC,Shawn Mendes:Life Of The Party,14hJ5tc1VCFMWhVn9axRTC
12295,ozdakaac3d5c3izl7tcrrzu7i,144050,When You Look Me In The Eyes,Jonas Brothers,Jonas Brothers,spotify:track:4kf33kU0KAlkNBK9pNbYNU,Jonas Brothers:When You Look Me In The Eyes,4kf33kU0KAlkNBK9pNbYNU
12296,ozdakaac3d5c3izl7tcrrzu7i,21060,Imagination,Shawn Mendes,Handwritten,spotify:track:21TcDbGosp7w9YhTjOszgA,Shawn Mendes:Imagination,21TcDbGosp7w9YhTjOszgA
12297,ozdakaac3d5c3izl7tcrrzu7i,187240,Miss Americana & The Heartbreak Prince,Taylor Swift,Lover,spotify:track:214nt20w5wOxJnY462klLw,Taylor Swift:Miss Americana & The Heartbreak Prince,214nt20w5wOxJnY462klLw
12298,ozdakaac3d5c3izl7tcrrzu7i,860,Call It What You Want,Taylor Swift,reputation,spotify:track:1GwMQaZz6Au3QLDbjbMdme,Taylor Swift:Call It What You Want,1GwMQaZz6Au3QLDbjbMdme
12299,ozdakaac3d5c3izl7tcrrzu7i,770,Ghost Of You,5 Seconds of Summer,Youngblood,spotify:track:1MhXdlCQPnO56T57MfmaRm,5 Seconds of Summer:Ghost Of You,1MhXdlCQPnO56T57MfmaRm
12300,ozdakaac3d5c3izl7tcrrzu7i,121950,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,reputation Stadium Tour Surprise Song Playlist,spotify:track:55n9yjI6qqXh5F2mYvUc2y,ZAYN:I Don’t Wanna Live Forever (Fifty Shades Darker),55n9yjI6qqXh5F2mYvUc2y
12301,ozdakaac3d5c3izl7tcrrzu7i,112460,What I've Been Looking For,Ryan,High School Musical,spotify:track:40RcMOyjymXFKBxlMuQJnA,Ryan:What I've Been Looking For,40RcMOyjymXFKBxlMuQJnA
12302,ozdakaac3d5c3izl7tcrrzu7i,89900,Breaking Free,Troy,High School Musical,spotify:track:5zQ1Wq6HNYjGZWkVv5P8Eg,Troy:Breaking Free,5zQ1Wq6HNYjGZWkVv5P8Eg
12303,ozdakaac3d5c3izl7tcrrzu7i,3410,We're All In This Together,High School Musical Cast,High School Musical,spotify:track:0cqNGWvuukhCiKvEX7utys,High School Musical Cast:We're All In This Together,0cqNGWvuukhCiKvEX7utys
12304,ozdakaac3d5c3izl7tcrrzu7i,109320,Fabulous,Sharpay Evans,High School Musical 2,spotify:track:6jyXQ8HGI7ikECGA0670uo,Sharpay Evans:Fabulous,6jyXQ8HGI7ikECGA0670uo
12305,ozdakaac3d5c3izl7tcrrzu7i,5210,Work This Out,High School Musical Cast,High School Musical 2,spotify:track:4k9EAtZdZrzPlBUsFncXCZ,High School Musical Cast:Work This Out,4k9EAtZdZrzPlBUsFncXCZ
12306,ozdakaac3d5c3izl7tcrrzu7i,74210,You Are the Music in Me,Troy,High School Musical 2,spotify:track:6TRp2628QKH3kY6KrCnjqp,Troy:You Are the Music in Me,6TRp2628QKH3kY6KrCnjqp
12307,ozdakaac3d5c3izl7tcrrzu7i,96910,High School Musical,High School Musical Cast,High School Musical 3: Nos Années Lycée,spotify:track:3nqx0B9QeU5APtr1f9bJNK,High School Musical Cast:High School Musical,3nqx0B9QeU5APtr1f9bJNK
12308,ozdakaac3d5c3izl7tcrrzu7i,115300,A Night to Remember,High School Musical Cast,High School Musical 3: Nos Années Lycée,spotify:track:3LmSi7QFblPIE43B0pnmti,High School Musical Cast:A Night to Remember,3LmSi7QFblPIE43B0pnmti
12309,ozdakaac3d5c3izl7tcrrzu7i,137890,"One and the Same - From ""Princess Protection Program""",Selena Gomez,Disney Channel Playlist,spotify:track:1QkJBQnCv81ef7gyWMDL3Q,"Selena Gomez:One and the Same - From ""Princess Protection Program""",1QkJBQnCv81ef7gyWMDL3Q
12310,ozdakaac3d5c3izl7tcrrzu7i,114700,You're The One That I Want - From “Grease”,John Travolta,Grease,spotify:track:0B9x2BRHqj3Qer7biM3pU3,John Travolta:You're The One That I Want - From “Grease”,0B9x2BRHqj3Qer7biM3pU3
12311,ozdakaac3d5c3izl7tcrrzu7i,122930,Shut Up and Dance,WALK THE MOON,TALKING IS HARD,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON:Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA
12312,ozdakaac3d5c3izl7tcrrzu7i,16500,Paper Rings,Taylor Swift,Lover,spotify:track:4y5bvROuBDPr5fuwXbIBZR,Taylor Swift:Paper Rings,4y5bvROuBDPr5fuwXbIBZR
